"Hatch_Date","Retention_Probability","Estimate_Type","Flow_Scenario","Year"
1930-06-21,"0.0177975284504909","New;0.9","Alt1",1930
1949-06-21,"0","New;0.9","Alt1",1949
1953-06-14,"0","New;0.9","Alt1",1953
1966-06-21,"0.427051805762295","New;0.9","Alt1",1966
1975-07-02,"0.9423957910005","New;0.9","Alt1",1975
1980-06-21,"0.4527258879407","New;0.9","Alt1",1980
1982-06-21,"0","New;0.9","Alt1",1982
1983-06-21,"0.255578995259644","New;0.9","Alt1",1983
1985-06-21,"0.00886362318292795","New;0.9","Alt1",1985
1986-06-14,"0.999999979364575","New;0.9","Alt1",1986
1987-06-21,"0.96653735010874","New;0.9","Alt1",1987
1994-06-21,"0","New;0.9","Alt1",1994
2000-06-21,"0.00806397162876199","New;0.9","Alt1",2000
2011-06-25,"1.75358712953087e-05","New;0.9","Alt1",2011
2012-06-21,"0.0335201205000124","New;0.9","Alt1",2012
