"Hatch_Date","Retention_Probability","Estimate_Type","Flow_Scenario","Year"
1930-06-21,"0","New;0.9","Alt1a",1930
1949-06-21,"0","New;0.9","Alt1a",1949
1953-06-14,"0","New;0.9","Alt1a",1953
1966-06-21,"0","New;0.9","Alt1a",1966
1975-07-02,"0.887230538204868","New;0.9","Alt1a",1975
1980-06-21,"0","New;0.9","Alt1a",1980
1982-06-21,"0","New;0.9","Alt1a",1982
1983-06-21,"0","New;0.9","Alt1a",1983
1985-06-21,"0","New;0.9","Alt1a",1985
1986-06-14,"0","New;0.9","Alt1a",1986
1987-06-21,"0.999359566673882","New;0.9","Alt1a",1987
1994-06-21,"0","New;0.9","Alt1a",1994
2000-06-21,"0.0052968174774219","New;0.9","Alt1a",2000
2011-06-25,"1.74663446217567e-05","New;0.9","Alt1a",2011
2012-06-21,"0.0140604399148285","New;0.9","Alt1a",2012
