"Hatch_Date","Retention_Probability","Estimate_Type","Flow_Scenario","Year"
1930-06-21,"0.0277138419308759","New;0.9","Alt1b",1930
1949-06-21,"0.557391148827839","New;0.9","Alt1b",1949
1953-06-14,"0","New;0.9","Alt1b",1953
1966-06-21,"0.0211754395674973","New;0.9","Alt1b",1966
1975-07-02,"0.743099972139534","New;0.9","Alt1b",1975
1980-06-21,"0.114220375508106","New;0.9","Alt1b",1980
1982-06-21,"0","New;0.9","Alt1b",1982
1983-06-21,"0.158189757133278","New;0.9","Alt1b",1983
1985-06-21,"0.0453923926178028","New;0.9","Alt1b",1985
1986-06-14,"0","New;0.9","Alt1b",1986
1987-06-21,"0.57966155133153","New;0.9","Alt1b",1987
1994-06-21,"0.488483569451948","New;0.9","Alt1b",1994
2000-06-21,"0.00335103473808822","New;0.9","Alt1b",2000
2011-06-25,"1.65798512527895e-05","New;0.9","Alt1b",2011
2012-06-21,"0.014346783511832","New;0.9","Alt1b",2012
