"Hatch_Date","Retention_Probability","Estimate_Type","Flow_Scenario","Year"
1930-06-21,"0","New;0.9","Alt2",1930
1949-06-21,"0","New;0.9","Alt2",1949
1953-06-14,"0.0125917908800767","New;0.9","Alt2",1953
1966-06-21,"0","New;0.9","Alt2",1966
1975-07-02,"0.937599249830345","New;0.9","Alt2",1975
1980-06-21,"0.48572568002875","New;0.9","Alt2",1980
1982-06-21,"0","New;0.9","Alt2",1982
1983-06-21,"0.197103576163785","New;0.9","Alt2",1983
1985-06-21,"0.0366758904847345","New;0.9","Alt2",1985
1986-06-14,"0.999999986175038","New;0.9","Alt2",1986
1987-06-21,"0.840021946027","New;0.9","Alt2",1987
1994-06-21,"0","New;0.9","Alt2",1994
2000-06-21,"0.00829631046985591","New;0.9","Alt2",2000
2011-06-25,"1.47355513300914e-05","New;0.9","Alt2",2011
2012-06-21,"0.0265927399645856","New;0.9","Alt2",2012
