"Hatch_Date","Retention_Probability","Estimate_Type","Flow_Scenario","Year"
1930-06-21,"0","New;0.9","AltNA",1930
1949-06-21,"0","New;0.9","AltNA",1949
1953-06-14,"0","New;0.9","AltNA",1953
1966-06-21,"0","New;0.9","AltNA",1966
1975-07-02,"0.902658660804346","New;0.9","AltNA",1975
1980-06-21,"0","New;0.9","AltNA",1980
1982-06-21,"0","New;0.9","AltNA",1982
1983-06-21,"0","New;0.9","AltNA",1983
1985-06-21,"0","New;0.9","AltNA",1985
1986-06-14,"0","New;0.9","AltNA",1986
1987-06-21,"0","New;0.9","AltNA",1987
1994-06-21,"0","New;0.9","AltNA",1994
2000-06-21,"0","New;0.9","AltNA",2000
2011-06-25,"1.55522750750103e-05","New;0.9","AltNA",2011
2012-06-21,"0","New;0.9","AltNA",2012
