"Drift.Time..days.","Alt1a_11_H","Column7","Column8","Alt1a_11_M","Column9","Column10","Alt1a_11_L","Column11","Column12","Alt1a_85_H","Column19","Column20","Alt1a_85_M","Column21","Column22","Alt1a_85_L","Column23","Column24","Alt1a_75_H","Column43","Column44","Alt1a_75_M","Column45","Column46","Alt1a_75_L","Column47","Column48","Alt1a_68_H","Column49","Column50","Alt1a_68_M","Column51","Column52","Alt1a_68_L","Column53","Column54"
NA,"ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained"
0.25,"2.5352679728357","2.5352679728357","1","1.69802884698981","1.69802884698981","1","1.56312614217858","1.56312614217858","1","1.59568897501585","1.59568897501585","1","1.45817024620117","1.45817024620117","1","1.30367269980739","1.30367269980739","1","2.48605125092704","2.48605125092704","1","2.32301894351961","2.32301894351961","1","2.11671335150195","2.11671335150195","1","1.86856513146476","1.86856513146476","1","1.68036354446935","1.68036354446935","1","1.67910012031825","1.67910012031825","1"
0.375,"2.55287366660745","5.08814163944315","1","1.73060872127099","3.4286375682608","1","1.598004376906","3.16113051908458","1","1.61134960727684","3.20703858229268","1","1.476688441417","2.93485868761817","1","1.32537188468555","2.62904458449294","1","2.51234983159432","4.99840108252137","1","2.35134928889575","4.67436823241536","1","2.14753840327754","4.26425175477949","1","1.9451628372928","3.81372796875756","1","1.75945517327841","3.43981871774777","1","1.75584018087124","3.43494030118949","1"
0.5,"2.5979633013697","7.68610494081285","1","1.78855982474613","5.21719739300693","1","1.65792700466534","4.81905752374992","1","1.69707530502783","4.90411388732051","1","1.56604104473874","4.50089973235691","1","1.41875421873612","4.04779880322906","1","2.55480331629519","7.55320439881656","1","2.39684709973566","7.07121533215102","1","2.19677189382909","6.46102364860858","1","2.02311317021993","5.83684113897749","1","1.83978146182205","5.27960017956981","1","1.83404896360908","5.26898926479857","1"
0.625,"2.66795216134183","10.3540571021547","1","1.86730886327859","7.08450625628552","1","1.73798315556619","6.55704067931611","1","1.74417172476231","6.64828561208283","1","1.61608447471689","6.1169842070738","1","1.47205736621791","5.51985616944698","1","2.59339657906027","10.1466009778768","1","2.43827899884234","9.50949433099336","1","2.2416830852436","8.70270673385218","1","2.0869412874725","7.92378242644998","1","1.90636321829153","7.18596339786135","1","1.89961389356555","7.16860315836412","1"
0.75,"2.73493409619767","13.0889911983523","1","1.94309570214334","9.02760195842886","1","1.81503421021808","8.37207488953419","1","1.80259261526578","8.45087822734861","1","1.67652825936806","7.79351246644185","1","1.5347501091674","7.05460627861438","1","2.63600944172331","12.7826104196001","1","2.48342230907009","11.9929166400635","1","2.28993888536855","10.9926456192207","1","2.14735677834355","10.0711392047935","1","1.96869772334242","9.15466112120377","1","1.96258798423702","9.13119114260114","1"
0.875,"2.77148606451852","15.8604772628709","1","1.98929998492608","11.0169019433549","1","1.86264439060246","10.2347192801367","1","1.8107041529769","10.2615823803255","1","1.68642549783685","9.4799379642787","1","1.5466458993119","8.60125217792628","1","2.65536423621096","15.4379746558111","1","2.50474254766641","14.4976591877299","1","2.31366979139289","13.3063154106136","1","2.15864149447089","12.2297806992644","1","1.98254917339998","11.1372102946037","1","1.9785221041403","11.1097132467414","1"
1,"2.79301605950806","18.6534933223789","1","2.02190501161821","13.0388069549731","1","1.89689358556739","12.131612865704","1","1.811837332535","12.0734197128605","1","1.68940813003352","11.1693460943122","1","1.55173950412091","10.1529916820472","1","2.63850783189383","18.0764824877049","1","2.48992658959838","16.9875857773283","1","2.30134768064999","15.6076630912636","1","2.14628371289287","14.3760644121573","1","1.97317055854833","13.1103808531521","1","1.97003903753272","13.0797522842742","1"
1.125,"2.81227360615539","21.4657669285343","1","2.05283771838633","15.0916446733595","1","1.92957615424011","14.0611890199442","1","1.8113017420448","13.8847214549053","1","1.69078580379859","12.8601318981108","1","1.5552939375044","11.7082856195516","1","2.61509062457731","20.6915731122822","1","2.46884740972626","19.4564331870545","1","2.28312358345336","17.890786674717","1","2.1279083488707","16.503972761028","1","1.95782825823867","15.0682091113908","1","1.95353711584328","15.0332894001174","1"
1.25,"2.83438099965801","24.3001479281923","1","2.08675178246469","17.1783964558242","1","1.96525976599325","16.0264487859374","1","1.80676527037325","15.6914867252786","1","1.68795445116316","14.548086349274","1","1.55438359874903","13.2626692183006","1","2.59658857010674","23.288161682389","1","2.45283683808677","21.9092700251413","1","2.27016103292766","20.1609477076446","1","2.11409507213486","18.6180678331629","1","1.9473767905842","17.0155859019749","1","1.94118883377772","16.9744782338952","1"
