"Drift.Time..days.","Alt2_12_H","Column1","Column2","Alt2_12_M","Column3","Column4","Alt2_12_L","Column5","Column6","Alt2_11_H","Column7","Column8","Alt2_11_M","Column9","Column10","Alt2_11_L","Column11","Column12","Alt2_98_H","Column13","Column14","Alt2_98_M","Column15","Column16","Alt2_98_L","Column17","Column18","Alt2_87_H","Column19","Column20","Alt2_87_M","Column21","Column22","Alt2_87_L","Column23","Column24","Alt2_86_H","Column25","Column26","Alt2_86_M","Column27","Column28","Alt2_86_L","Column29","Column30","Alt2_85_H","Column31","Column32","Alt2_85_M","Column33","Column34","Alt2_85_L","Column35","Column36","Alt2_84_H","Column37","Column38","Alt2_84_M","Column39","Column40","Alt2_84_L","Column41","Column42","Alt2_83_H","Column43","Column44","Alt2_83_M","Column45","Column46","Alt2_83_L","Column47","Column48","Alt2_80_H","Column49","Column50","Alt2_80_M","Column51","Column52","Alt2_80_L","Column53","Column54","Alt2_75_H","Column55","Column56","Alt2_75_M","Column57","Column58","Alt2_75_L","Column59","Column60","Alt2_68_H","Column61","Column62","Alt2_68_M","Column63","Column64","Alt2_68_L","Column65","Column66","Alt2_66_H","Column67","Column68","Alt2_66_M","Column69","Column70","Alt2_66_L","Column71","Column72","NA."
NA,"ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained",NA
"0.125","1.79107785430789","1.79107785430789","1","1.66264142976389","1.66264142976389","1","1.53516854321592","1.53516854321592","1","2.56471941875458","2.56471941875458","1","2.38062770192438","2.38062770192438","1","2.14847303806149","2.14847303806149","1","1.75797978194581","1.75797978194581","1","1.61303000825538","1.61303000825538","1","1.44926407630161","1.44926407630161","1","1.88012393423995","1.88012393423995","1","1.72735746671332","1.72735746671332","1","1.54804779986347","1.54804779986347","1","1.52470495763032","1.52470495763032","1","1.4075644398512","1.4075644398512","1","1.29057738082621","1.29057738082621","1","1.84462616063353","1.84462616063353","1","1.6891170702033","1.6891170702033","1","1.5057683828324","1.5057683828324","1","1.72651368244479","1.72651368244479","1","1.58538248653159","1.58538248653159","1","1.42754557868996","1.42754557868996","1","1.83824565914743","1.83824565914743","1","1.69122398765266","1.69122398765266","1","1.51576097984391","1.51576097984391","1","1.83048379000933","1.83048379000933","1","1.68492881514014","1.68492881514014","1","1.51577562025212","1.51577562025212","1","2.50488398925733","2.50488398925733","1","2.34191330492726","2.34191330492726","1","2.13654713679424","2.13654713679424","1","1.50122092684326","1.50122092684326","1","1.38307982432782","1.38307982432782","1","1.26479124645824","1.26479124645824","1","1.7542879407957","1.7542879407957","1","1.69048404200681","1.69048404200681","1","1.51492655230859","1.51492655230859","1",0.125
"0.25","1.8688596543928","3.65993750870068","1","1.74229391169369","3.40493534145758","1","1.61663511548844","3.15180365870436","1","2.5853987242515","5.15011814300608","1","2.40336962046647","4.78399732239085","1","2.1737489705849","4.32222200864639","1","1.79717439082348","3.55515417276929","1","1.65488249887829","3.26791250713367","1","1.49408673315905","2.94335080946065","1","1.92131919226263","3.80144312650258","1","1.77119927636618","3.4985567430795","1","1.59494641016799","3.14299421003146","1","1.61747471095631","3.14217966858663","1","1.50305277358033","2.91061721343153","1","1.38868619977764","2.67926358060385","1","1.92840662490213","3.77303278553566","1","1.77532554260132","3.46444261280462","1","1.59480892037493","3.10057730320733","1","1.8144143997799","3.54092808222469","1","1.67637705510519","3.26175954163677","1","1.52190876513756","2.94945434382752","1","1.84044550235415","3.67869116150158","1","1.69614430453479","3.38736829218745","1","1.5238243712786","3.03958535112251","1","1.89486239258016","3.72534618258949","1","1.75289203171068","3.43782084685083","1","1.58777971995363","3.10355534020575","1","2.54458171025767","5.049465699515","1","2.38436746950566","4.72628077443292","1","2.18233751093704","4.31888464773127","1","1.55801439529987","3.05923532214312","1","1.44140733617513","2.82448716050295","1","1.32463181754799","2.58942306400623","1","1.81831550047941","3.5726034412751","1","1.75507029506747","3.44555433707428","1","1.58170792073268","3.09663447304127","1",0.25
"0.375","1.9802933206376","5.64023082933828","1","1.85578686159969","5.26072220305727","1","1.7321874841718","4.88399114287617","1","2.62960929198061","7.77972743498669","1","2.44911768980288","7.23311501219372","1","2.22140933937466","6.54363134802105","1","1.88926196007389","5.44441613284318","1","1.75014919362184","5.01806170075551","1","1.59289238250742","4.53624319196807","1","1.98410791031452","5.7855510368171","1","1.8373527586475","5.335909501727","1","1.6649977168231","4.80799192685456","1","1.71716617090831","4.85934583949494","1","1.60564915686067","4.5162663702922","1","1.49409752043164","4.17336110103548","1","2.01658817721694","5.7896209627526","1","1.86701212958945","5.33145474239408","1","1.69060341555222","4.79118071875955","1","1.94576346537408","5.48669154759877","1","1.81131455863562","5.07307410027239","1","1.66082278806539","4.61027713189291","1","1.84639868647037","5.52508984797195","1","1.705126967612","5.09249525979945","1","1.53629759097717","4.57588294209968","1","1.97990458679473","5.70525076938422","1","1.84123020376448","5.27905105061531","1","1.67994067161711","4.78349601182285","1","2.619738879199","7.669204578714","1","2.46207090604511","7.18835168047803","1","2.26314773584388","6.58203238357515","1","1.67537567951808","4.73461100166121","1","1.56054478118174","4.38503194168469","1","1.44551927717305","4.03494234117929","1","1.89280719430337","5.46541063557847","1","1.83026583456813","5.27582017164241","1","1.65939258151635","4.75602705455762","1",0.375
"0.5","2.09252992901507","7.73276075835335","1","1.97055244176847","7.23127464482574","1","1.84934499835355","6.73333614122971","1","2.68871898310589","10.4684464180926","1","2.50952073808995","9.74263575028367","1","2.2834310584745","8.82706240649556","1","1.97692650193784","7.42134263478102","1","1.84077572152533","6.85883742228083","1","1.68686843625938","6.22311162822745","1","2.0655054674316","7.8510565042487","1","1.92177014523459","7.25767964696159","1","1.75283993467779","6.56083186153235","1","1.89397581989536","6.7533216593903","1","1.78537984879647","6.30164621908867","1","1.6766915662578","5.85005266729329","1","2.08802634779922","7.87764731055181","1","1.94107099604765","7.27252573844172","1","1.76759968008764","6.55878039884719","1","2.06522529511593","7.5519168427147","1","1.93418305099818","7.00725715127057","1","1.78740417311527","6.39768130500817","1","1.89339056047377","7.41848040844572","1","1.75486976873576","6.8473650285352","1","1.58923129380098","6.16511423590066","1","2.04401285971905","7.74926362910326","1","1.90824118361158","7.18729223422689","1","1.75024452856979","6.53374054039264","1","2.69848232331624","10.3676869020302","1","2.54281503408139","9.73116671455942","1","2.34633243339675","8.9283648169719","1","1.78084858350395","6.51545958516515","1","1.66753865518437","6.05257059686906","1","1.55401056957999","5.58895291075927","1","1.96991432581647","7.43532496139494","1","1.90798409424754","7.18380426588995","1","1.73916821272439","6.49519526728201","1",0.5
"0.625","2.17593255365125","9.9086933120046","1","2.05627503588686","9.2875496807126","1","1.93728905967514","8.67062520090485","1","2.74548544210598","13.2139318601986","1","2.56810219680938","12.310737947093","1","2.34419269155171","11.1712550980473","1","2.0193321129275","9.44067474770852","1","1.88621562632721","8.74505304860804","1","1.7356491156889","7.95876074391634","1","2.14059015862069","9.9916466628694","1","1.99999006159086","9.25766970855245","1","1.83454118425154","8.39537304578389","1","2.04333537950301","8.79665703889331","1","1.93768129091475","8.23932751000341","1","1.8318738133597","7.68192648065299","1","2.14943890847976","10.0270862190316","1","2.00465064293928","9.277176381381","1","1.83360441306378","8.39238481191097","1","2.16355433176952","9.71547117448422","1","2.03495637750185","9.04221352877243","1","1.89076029425533","8.2884415992635","1","1.94844062458086","9.36692103302659","1","1.81229085560897","8.65965588414418","1","1.64943472009375","7.81454895599441","1","2.08272514363322","9.83198877273649","1","1.94949257299198","9.13678480721887","1","1.79433704944425","8.3280775898369","1","2.76533495812077","13.133021860151","1","2.61179851404448","12.3429652286039","1","2.41788305763027","11.3462478746022","1","1.87047795021959","8.38593753538475","1","1.75862698162814","7.81119757849721","1","1.64654060829887","7.23549351905814","1","1.99975467254616","9.43507963394111","1","1.93854768829655","9.12235195418651","1","1.77186417915551","8.26705944643752","1",0.625
"0.75","2.21322057370029","12.1219138857049","1","2.09533494086431","11.3828846215769","1","1.9780676782642","10.648692879169","1","2.77754516153876","15.9914770217373","1","2.60238666679846","14.9131246138915","1","2.38117250287825","13.5524276009255","1","2.01863617526593","11.4593109229744","1","1.88864409662417","10.6336971452322","1","1.74155088334985","9.70031162726619","1","2.15354610245521","12.1451927653246","1","2.01581882158824","11.2734885301407","1","1.85363723339057","10.2490102791745","1","2.1055793344481","10.9022363733414","1","2.0023859718915","10.2417134818949","1","1.89893348324186","9.58085996389485","1","2.1773368691824","12.204423088214","1","2.03409848187804","11.311274863259","1","1.86482225679796","10.2572070687089","1","2.20468203859977","11.920153213084","1","2.07767492001663","11.1198884487891","1","1.93521873643607","10.2236603356996","1","1.95814802398468","11.3250690570113","1","1.82390534549769","10.4835612296419","1","1.66325558919134","9.47780454518574","1","2.09295830309679","11.9249470758333","1","1.96211823027","11.0989030374889","1","1.80967193004466","10.1377495198816","1","2.78761214853764","15.9206340086886","1","2.63594042906565","14.9789056576696","1","2.44429830141694","13.7905461760191","1","1.90277232220081","10.2887098575856","1","1.79235010656106","9.60354768505826","1","1.68169163594863","8.91718515500677","1","2.01368636522865","11.4487659991698","1","1.9529018700376","11.0752538242241","1","1.7881634636747","10.0552229101122","1",0.75
"0.875","2.23558027315552","14.3574941588604","1","2.11944912172881","13.5023337433057","1","2.00387982290022","12.6525727020693","1","2.79441363279486","18.7858906545322","1","2.62201848902275","17.5351431029143","1","2.40415299560262","15.9565805965281","1","1.99763758168644","13.4569485046609","1","1.87106907554489","12.5047662207771","1","1.72781351488553","11.4281251421517","1","2.15375692233294","14.2989496876575","1","2.01938966760045","13.2928781977411","1","1.86104581339685","12.1100560925713","1","2.10444059352436","13.0066769668658","1","2.00346941407472","12.2451828959696","1","1.90219043143087","11.4830503953257","1","2.15948219245147","14.3639052806654","1","2.01841516037391","13.329690023633","1","1.85166057316683","12.1088676418758","1","2.18612431403194","14.1062775271159","1","2.06115384346812","13.1810422922572","1","1.92092467897239","12.144585014672","1","1.95071389975167","13.2757829567629","1","1.81833231091386","12.3018935405557","1","1.65981244988113","11.1376169950669","1","2.09282598965318","14.0177730654865","1","1.96432379710692","13.0632268345958","1","1.81454313282739","11.952292652709","1","2.7793537875507","18.6999877962393","1","2.6289732342531","17.6078788919227","1","2.43891942109623","16.2294655971153","1","1.89296369655129","12.1816735541368","1","1.78430578221243","11.3878534672707","1","1.67537378549965","10.5925589405064","1","2.01508910194595","13.4638551011157","1","1.95478706097991","13.030040885204","1","1.79245339423433","11.8476763043466","1",0.875
"1","2.26682904868478","16.6243232075452","1","2.15273708452554","15.6550708278313","1","2.03914743442138","14.6917201364906","1","2.80811709801016","21.5940077525423","1","2.63858771238352","20.1737308152978","1","2.42420053354463","18.3807811300728","1","1.9701684155533","15.4271169202142","1","1.84735697548688","14.352123196264","1","1.70825362711549","13.1363787692672","1","2.15046695812136","16.4494166457789","1","2.01791058790874","15.3107887856499","1","1.86164859732419","13.9717046898955","1","2.09781095352877","15.1044879203945","1","1.99921717255974","14.2444000685294","1","1.90026669144718","13.3833170867729","1","2.13383462719932","16.4977399078648","1","1.99523896452894","15.3249289881619","1","1.83134675943159","13.9402144013074","1","2.16074998946371","16.2670275165796","1","2.03808274183743","15.2191250340946","1","1.90037325671145","14.0449582713834","1","1.93564222528297","15.2114251820459","1","1.80528797937023","14.1071815199259","1","1.64909360065899","12.7867105957259","1","2.0835564669471","16.1013295324336","1","1.95719289020961","15.0204197248054","1","1.80985711199384","13.7621497647028","1","2.76568313139306","21.4656709276324","1","2.61702261870971","20.2249015106324","1","2.42907594482174","18.6585415419371","1","1.87387533102622","14.0555488851631","1","1.76741117774853","13.1552646450192","1","1.66062489955427","12.2531838400607","1","2.0084406955667","15.4722957966824","1","1.94886462029477","14.9789055054988","1","1.78911064074525","13.6367869450918","1",1
"1.125","2.29702424392871","18.9213474514739","1","2.18490406543846","17.8399748932697","1","2.07323420056066","16.7649543370513","1","2.82221269144942","24.4162204439918","1","2.65543725421714","22.8291680695149","1","2.44440021368493","20.8251813437577","1","1.94160846493225","17.3687253851464","1","1.82296788334646","16.1750910796105","1","1.68846048028105","14.8248392495483","1","2.14591668232697","18.5953333281059","1","2.01581082034337","17.3265996059933","1","1.86236085906352","15.834065548959","1","2.09548084869105","17.1999687690856","1","1.99967764130355","16.2440777098329","1","1.90346568929719","15.2867827760701","1","2.11662216688113","18.6143620747459","1","1.98059828793063","17.3055272760925","1","1.81969245961404","15.7599068609214","1","2.14312935541747","18.4101568719971","1","2.02284725128461","17.2419722853792","1","1.8877515046173","15.9327097760007","1","1.92199712643313","17.133422308479","1","1.79379446057462","15.9009759805006","1","1.6400798478152","14.4267904435411","1","2.09066667351966","18.1919962059532","1","1.96626989075744","16.9866896155628","1","1.82116897308074","15.5833187377835","1","2.74614334103248","24.2118142686649","1","2.59989696976812","22.8247984804005","1","2.41490505569964","21.0734465976367","1","1.86912453918795","15.924673424351","1","1.76518688217036","14.9204515271896","1","1.66088181602401","13.9140656560847","1","2.00357950311391","17.4758752997963","1","1.94480952970215","16.9237150352009","1","1.78767692424902","15.4244638693408","1",1.125
