"Drift.Time..days.","Alt2a_12_H","Column1","Column2","Alt2a_12_M","Column3","Column4","Alt2a_12_L","Column5","Column6","Alt2a_11_H","Column7","Column8","Alt2a_11_M","Column9","Column10","Alt2a_11_L","Column11","Column12","Alt2a_98_H","Column13","Column14","Alt2a_98_M","Column15","Column16","Alt2a_98_L","Column17","Column18","Alt2a_87_H2","Column181","Column182","Alt2a_87_M2","Column183","Column184","Alt2a_87_L2","Column185","Column186","Alt2a_85_H","Column19","Column20","Alt2a_85_M","Column21","Column22","Alt2a_85_L","Column23","Column24","Alt2a_84_H","Column25","Column26","Alt2a_84_M","Column27","Column28","Alt2a_84_L","Column29","Column30","Alt2a_83_H","Column31","Column32","Alt2a_83_M","Column33","Column34","Alt2a_83_L","Column35","Column36","Alt2a_80_H","Column37","Column38","Alt2a_80_M","Column39","Column40","Alt2a_80_L","Column41","Column42","Alt2a_75_H","Column43","Column44","Alt2a_75_M","Column45","Column46","Alt2a_75_L","Column47","Column48","Alt2a_68_H","Column49","Column50","Alt2a_68_M","Column51","Column52","Alt2a_68_L","Column53","Column54","Alt2a_66_H2","Column55","Column56","Alt2a_66_M5","Column57","Column58","Alt2a_66_L8","Column59","Column60"
NA,"ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained"
0.25,"2.1307316461752","2.1307316461752","1","1.96781494243986","1.96781494243986","1","1.78766229205989","1.78766229205989","1","2.64019668647771","2.64019668647771","1","2.4574690015625","2.4574690015625","1","2.22722094003782","2.22722094003782","1","1.91801086562993","1.91801086562993","1","1.76809585959898","1.76809585959898","1","1.59414713269814","1.59414713269814","1","2.02595215070517","2.02595215070517","1","1.87411131449412","1.87411131449412","1","1.69921979058724","1.69921979058724","1","1.94491512244189","1.94491512244189","1","1.92490907241493","1.92490907241493","1","1.62254924630525","1.62254924630525","1","1.86805853783987","1.86805853783987","1","1.72149879665716","1.72149879665716","1","1.55341659208903","1.55341659208903","1","1.86403346931449","1.86403346931449","1","1.72182039100445","1.72182039100445","1","1.72182039100445","1.72182039100445","1","2.05925779860177","2.05925779860177","1","1.90993918521867","1.90993918521867","1","1.7367687528639","1.7367687528639","1","2.9232192093229","2.9232192093229","1","2.78094447528048","2.78094447528048","1","2.59976003532617","2.59976003532617","1","1.71748351170468","1.71748351170468","1","1.60117232489936","1.60117232489936","1","1.48463547863718","1.48463547863718","1","1.97359504567105","1.97359504567105","1","1.82965108959588","1.82965108959588","1","1.66230298147188","1.66230298147188","1"
0.375,"2.24881596403337","4.37954761020857","1","2.08833400356939","4.05614894600925","1","1.91074458558494","3.69840687764483","1","2.72252206518004","5.36271875165776","1","2.54225546491906","4.99972446648155","1","2.31498517039788","4.54220611043571","1","2.04027973457643","3.95829060020636","1","1.89252082264186","3.66061668224084","1","1.72113383439352","3.31528096709166","1","2.09244138771768","4.11839353842285","1","1.94417335023822","3.81828466473234","1","1.77322371043005","3.4724435010173","1","2.00006505337495","3.94498017581684","1","1.9808870807897","3.90579615320463","1","1.68462371129769","3.30717295760294","1","1.93266167879035","3.80072021663023","1","1.78819591881586","3.50969471547302","1","1.62251170571482","3.17592829780386","1","1.90243613260057","3.76646960191506","1","1.76264574190722","3.48446613291167","1","1.76264574190722","3.48446613291167","1","2.15779166560406","4.21704946420583","1","2.01085818688492","3.92079737210359","1","1.84030948307804","3.57707823594194","1","3.01258141317006","5.93580062249296","1","2.87287874855695","5.65382322383744","1","2.69486132572028","5.29462136104644","1","1.82805160308319","3.54553511478787","1","1.71446684205785","3.31563916695721","1","1.60060087624367","3.08523635488085","1","2.03689809184227","4.01049313751331","1","1.89800529689121","3.72765638648709","1","1.73637642262162","3.3986794040935","1"
0.5,"2.33058420829292","6.71013181850149","1","2.17249130839677","6.22864025440603","1","1.99748671153284","5.69589358917768","1","2.77760070872083","8.14031946037859","1","2.59935894104403","7.59908340752558","1","2.37450986475698","6.91671597519269","1","2.13524461461598","6.09353521482234","1","1.99061592152212","5.65123260376296","1","1.82267901713444","5.1379599842261","1","2.15192250674229","6.27031604516514","1","2.00691174568446","5.8251964104168","1","1.83954878611765","5.31199228713495","1","2.069909304289","6.01488948010584","1","2.05121748435507","5.9570136375597","1","1.76020656503564","5.06737952263858","1","2.01487034083132","5.81559055746155","1","1.87260721299698","5.38230192847","1","1.70944998461153","4.88537828241539","1","1.99631355580887","5.76278315772393","1","1.85928233109581","5.34374846400749","1","1.85928233109581","5.34374846400749","1","2.21888307939424","6.43593254360007","1","2.07420249015282","5.99499986225641","1","1.90618392528233","5.48326216122427","1","3.10467405069238","9.04047467318534","1","2.9680508023906","8.62187402622803","1","2.79382828183492","8.08844964288137","1","1.93123034441377","5.47676545920164","1","1.82044049114009","5.13607965809729","1","1.70937178174692","4.79460813662777","1","2.09446305399607","6.10495619150939","1","1.95911211739157","5.68676850387866","1","1.8014476019668","5.2001270060603","1"
0.625,"2.35199231192149","9.06212413042298","1","2.19586698042363","8.42450723482965","1","2.02298595848357","7.71887954766124","1","2.80119850284835","10.9415179632269","1","2.62464864674173","10.2237320542673","1","2.40184513532759","9.31856111052028","1","2.16999226553916","8.2635274803615","1","2.02757954443986","7.67881214820282","1","1.86211081669437","7.00007080092048","1","2.18190814203926","8.45222418720441","1","2.03961739066292","7.86481380107971","1","1.87527264498289","7.18726493211784","1","2.08772609334007","8.10261557344591","1","2.06932822492869","8.02634186248839","1","1.78291082944022","6.8502903520788","1","2.06240114420046","7.87799170166201","1","1.92210660000888","7.30440852847887","1","1.76112011571221","6.6464983981276","1","2.04646758835996","7.80925074608389","1","1.9116844998151","7.25543296382259","1","1.9116844998151","7.25543296382259","1","2.23878977159589","8.67472231519595","1","2.09605574440872","8.09105560666512","1","1.9302396498609","7.41350181108517","1","3.14650615567758","12.1869808288629","1","3.01218269813128","11.6340567243593","1","2.84082361070756","10.9292732535889","1","1.96673831674325","7.44350377594489","1","1.85782665595734","6.99390631405463","1","1.74861920506716","6.54322734169493","1","2.14654069728609","8.25149688879548","1","2.0142688912145","7.70103739509316","1","1.86005039782771","7.06017740388801","1"
0.75,"2.36051590188166","11.4226400323046","1","2.20642895114462","10.6309361859743","1","2.03573917582781","9.75461872348905","1","2.80849492044015","13.7500128836671","1","2.63356408341661","12.8572961376839","1","2.41272760347864","11.7312887139989","1","2.19773096360086","10.4612584439624","1","2.05731809996695","9.73613024816977","1","1.89409481111073","8.89416561203121","1","2.18842305967318","10.6406472468776","1","2.04803991828068","9.91285371936039","1","1.88582679718451","9.07309172930235","1","2.09862680913422","10.2012423825801","1","2.0803472537852","10.1066891162736","1","1.79760336757152","8.64789371965031","1","2.08031871809042","9.95831041975243","1","1.94194380693064","9.24635233540952","1","1.78308167120026","8.42958006932786","1","2.05897258449143","9.86822333057532","1","1.9258699299883","9.18130289381089","1","1.9258699299883","9.18130289381089","1","2.26931946174319","10.9440417769391","1","2.12866380203012","10.2197194086952","1","1.96518817610448","9.37868998718966","1","3.13538322912055","15.3223640579835","1","3.00359349922293","14.6376502235822","1","2.83537097900154","13.7646442325905","1","1.97118326253645","9.41468703848133","1","1.86371809316794","8.85762440722258","1","1.7559307328475","8.29915807454243","1","2.17001032193668","10.4215072107322","1","2.04003563945587","9.74107303454903","1","1.88840809103456","8.94858549492257","1"
0.875,"2.37430742848009","13.7969474607847","1","2.22231894287882","12.8532551288531","1","2.05389492678824","11.8085136502773","1","2.81538120880123","16.5653940924683","1","2.64237184087836","15.4996679785623","1","2.42386816005092","14.1551568740498","1","2.21268321149114","12.6739416554535","1","2.07392471941575","11.8100549675855","1","1.91260458781145","10.8067701998427","1","2.19049445758905","12.8311417044666","1","2.05184556255253","11.9646992819129","1","1.89160117621862","10.964692905521","1","2.10926744346785","12.310509826048","1","2.09156277838334","12.1982518946569","1","1.81178399103126","10.4596777106816","1","2.09562154317411","12.0539319629265","1","1.95896605235735","11.2053183877669","1","1.80200890103807","10.2315889703659","1","2.07251942648996","11.9407427570653","1","1.94102349015829","11.1223263839692","1","1.94102349015829","11.1223263839692","1","2.3041959192365","13.2482376961756","1","2.16571294757023","12.3854323562655","1","2.00472110972183","11.3834110969115","1","3.12765720491287","18.4500212628963","1","2.99849073751365","17.6361409610959","1","2.83351720325735","16.5981614358478","1","1.97944025610533","11.3941272945867","1","1.87335788506252","10.7309822922851","1","1.76692635827575","10.0660844328182","1","2.1777859697093","12.5992931804415","1","2.04938733934778","11.7904603738968","1","1.89957785485673","10.8481633497793","1"
1,"2.39184450457191","16.1887919653566","1","2.24210200543911","15.0953571342922","1","2.0761164442659","13.8846300945432","1","2.82900010124763","19.394394193716","1","2.65864345137024","18.1583114299325","1","2.44335438590108","16.5985112599509","1","2.24334261124328","14.9172842666968","1","2.10711180776039","13.9171667753459","1","1.94869105163152","12.7554612514742","1","2.20756508259014","15.0387067870568","1","2.07087931103036","14.0355785929433","1","1.91286875456801","12.877561660089","1","2.12031439024455","14.4308242162925","1","2.10326946053819","14.3015213551951","1","1.8264390503156","12.2861167609972","1","2.13561029477662","14.1895422577032","1","2.00102977489156","13.2063481626584","1","1.84635582251739","12.0779447928833","1","2.09429053300189","14.0350332900672","1","1.96450719333962","13.0868335773088","1","1.96450719333962","13.0868335773088","1","2.33829762605216","15.5865353222278","1","2.20182202590347","14.5872543821689","1","2.04314532909005","13.4265564260015","1","3.1225831780836","21.5726044409799","1","2.99569691026027","20.6318378713562","1","2.83355005295415","19.431711488802","1","1.99258966653361","13.3867169611203","1","1.88796710146668","12.6189493937518","1","1.78296165624581","11.849046089064","1","2.18934264426878","14.7886358247102","1","2.0621650060133","13.8526253799101","1","1.91378633251854","12.7619496822978","1"
1.125,"2.43553618158464","18.6243281469413","1","2.28860120523107","17.3839583395233","1","2.12564679118034","16.0102768857235","1","2.8705775118284","22.2649717055443","1","2.70316224565123","20.8614736755837","1","2.491426676613","19.0899379365639","1","2.2914324380203","17.2087167047171","1","2.15735769815391","16.0745244734998","1","2.00140109596221","14.7568623474364","1","2.30544761766842","17.3441544047252","1","2.17099134019923","16.2065699331425","1","2.01549719501567","14.8930588551047","1","2.14105599595283","16.5718802122454","1","2.12446749996955","16.4259888551647","1","1.85123688904979","14.137353650047","1","2.26575372417113","16.4552959818743","1","2.13375146983641","15.3400996324948","1","1.98193506442895","14.0598798573123","1","2.21159759380638","16.2466308838735","1","2.08435748072047","15.1711910580293","1","2.08435748072047","15.1711910580293","1","2.41865386521102","18.0051891874388","1","2.28447140103226","16.8717257832012","1","2.12841211008714","15.5549685360887","1","3.15630201044722","24.7289064514271","1","3.03145968830997","23.6632975596661","1","2.87186312010955","22.3035746089115","1","2.01513563997467","15.4018526010949","1","1.91230568088879","14.5312550746406","1","1.80905014044554","13.6580962295095","1","2.29253729403205","17.0811731187423","1","2.1674142269629","16.020039606873","1","2.02138590152104","14.7833355838189","1"
1.25,"2.50697802788202","21.1313061748233","1","2.36324853810575","19.747206877629","1","2.20375881214171","18.2140356978653","1","2.95471458349961","25.219686289044","1","2.79004577202378","23.6515194476075","1","2.5816514132718","21.6715893498357","1","2.3375597398759","19.546276444593","1","2.20531242260172","18.2798368961015","1","2.05144774116504","16.8083100886014","1","2.44104860873053","19.7852030134557","1","2.31053515758674","18.5171050907292","1","2.15947399842747","17.0525328535321","1","2.22903676319863","18.800916975444","1","2.21303968172245","18.6390285368871","1","1.94582532898044","16.0831789790274","1","2.38200269463935","18.8372986765136","1","2.25285769147729","17.5929573239721","1","2.10423915795907","16.1641190152713","1","2.33952359655099","18.5861544804245","1","2.21556341850743","17.3867544765367","1","2.21556341850743","17.3867544765367","1","2.51694017815734","20.5221293655962","1","2.38531111237473","19.2570368955759","1","2.23217834515382","17.7871468812425","1","3.21441278769295","27.9433192391201","1","3.09144349446002","26.7547410541261","1","2.93420676626362","25.2377813751751","1","2.11546985113511","17.51732245223","1","2.01496307715527","16.5462181517958","1","1.91396077446701","15.5720570039765","1","2.40762142320095","19.4887945419432","1","2.28552468357341","18.3055642904464","1","2.14294805429925","16.9262836381181","1"
