"Drift.Time..days.","NA_11_HP","Column1","Column2","NA_11_H","Column3","Column4","NA_11_M","Column5","Column6","NA_11_L","Column7","Column8","Alt2a_11_M","Column9","Column10","NA_75_HP","Column11","Column12","NA_75_H","Column13","Column14","NA_75_M","Column15","Column16","NA_75_L","Column17","Column18","NA_75_LF","Column19","Column20"
NA,"ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained","ITU","CTU","% Retained"
0.25,"2.57911933551287","2.57911933551287","1","2.55746861948583","2.55746861948583","1","2.36492260660194","2.36492260660194","1","2.12704685204604","2.12704685204604","1","2.13275726736512","2.13275726736512","1","2.63048195438194","2.63048195438194","1","2.58279360355827","2.58279360355827","1","2.41814117836327","2.41814117836327","1","2.21014761868035","2.21014761868035","1","2.13135934561104","2.13135934561104","1"
0.375,"2.59565875429785","5.17477808981072","1","2.57434691089103","5.13181553037686","1","2.38510783198257","4.75003043858451","1","2.15120757164304","4.27825442368908","1","2.16555358587408","4.2983108532392","1","2.65574029258517","5.28622224696711","1","2.60856786827897","5.19136147183724","1","2.44564973431701","4.86379091268029","1","2.23979063869832","4.44993825737867","1","2.16179445840072","4.29315380401176","1"
0.5,"2.63931318996815","7.81409127977887","1","2.61839993296991","7.75021546334677","1","2.43256115249119","7.1825915910757","1","2.20274501522865","6.48099943891773","1","2.22478587842837","6.52309673166757","1","2.67421457182763","7.96043681879474","1","2.62753967466986","7.8189011465071","1","2.46629561887464","7.33008653155493","1","2.26248814971545","6.71242640709412","1","2.18525640153303","6.47841020554478","1"
0.625,"2.72195908862892","10.5360503684078","1","2.70144367906417","10.4516591424109","1","2.51913971027669","9.70173130135239","1","2.29354069380855","8.77454013272628","1","2.31825954740591","8.84135627907348","1","2.68540297742527","10.64583979622","1","2.63927218663036","10.4581733331375","1","2.4798599867246","9.80994651827953","1","2.27828560839511","8.99071201548923","1","2.20188692901268","8.68029713455746","1"
0.75,"2.78914372519151","13.3251940935993","1","2.76892911830198","13.2205882607129","1","2.5896959188957","12.2914272202481","1","2.36771543521101","11.1422555679373","1","2.3948479683285","11.236204247402","1","2.70958982745185","13.3554296236719","1","2.66405363261357","13.122226965751","1","2.50664664300784","12.3165931612874","1","2.30751552046246","11.2982275359517","1","2.23202331615655","10.912320450714","1"
0.875,"2.81117683920086","16.1363709328002","1","2.79113385465917","16.0117221153721","1","2.61360779616452","14.9050350164126","1","2.39365913062326","13.5359146985605","1","2.42236009735433","13.6585643447563","1","2.72479646010508","16.0802260837769","1","2.67985238128151","15.8020793470325","1","2.52444934523384","14.8410425065212","1","2.32775960846531","13.625987144417","1","2.25317256520497","13.165493015919","1"
1,"2.80932859145482","18.945699524255","1","2.7894312193832","18.8011533347553","1","2.61332635389284","17.5183613703054","1","2.39508594295932","15.9310006415199","1","2.4244322043784","16.0829965491347","1","2.73475183436647","18.8149779181434","1","2.69041610631714","18.4924954533497","1","2.53707480239528","17.3781173089165","1","2.34289919883076","15.9688863432477","1","2.26924676411421","15.4347397800332","1"
1.125,"2.80713875211345","21.7528382763684","1","2.78742269536795","21.5885760301232","1","2.61313701440868","20.1314983847141","1","2.39707652156903","18.3280771630889","1","2.4269183702995","18.5099149194342","1","2.74985274283396","21.5648306609774","1","2.70616325896364","21.1986587123133","1","2.55501483643122","19.9331321453477","1","2.36351387237293","18.3324002156207","1","2.29085631105186","17.725596091085","1"
1.25,"2.81020305754165","24.5630413339101","1","2.79072732101293","24.3793033511362","1","2.61862280352722","22.7501211882414","1","2.40517477414082","20.7332519372297","1","2.43619799066429","20.9461129100985","1","2.77235363771022","24.3371842986876","1","2.72931360656147","23.9279723188748","1","2.58037001328353","22.5135021586312","1","2.39155735356678","20.7239575691875","1","2.3199018705877","20.0454979616727","1"
