River Mile,1830H,1835H,1840H,1845H,1830M,1835M,1840M,1845M,1830L,1835L,1840L,1845L
1760.98,0,0,0,0,5.12E-27,5.02E-27,4.98E-27,5.00E-27,2.55E-06,2.52E-06,2.52E-06,2.56E-06
1760.52,0,0,0,0,6.20E-27,6.09E-27,6.04E-27,6.06E-27,2.88E-06,2.85E-06,2.85E-06,2.89E-06
1760.095,0,0,0,0,6.67E-27,6.55E-27,6.50E-27,6.53E-27,2.94E-06,2.90E-06,2.91E-06,2.95E-06
1759.6,0,0,0,0,6.40E-27,6.29E-27,6.24E-27,6.26E-27,2.65E-06,2.62E-06,2.62E-06,2.66E-06
1759.055,0,0,0,0,6.42E-27,6.30E-27,6.25E-27,6.28E-27,2.45E-06,2.42E-06,2.43E-06,2.46E-06
1758.49,0,0,0,0,7.20E-27,7.07E-27,7.01E-27,7.04E-27,2.58E-06,2.55E-06,2.55E-06,2.59E-06
1757.89,0,0,0,0,7.77E-27,7.63E-27,7.57E-27,7.60E-27,2.63E-06,2.60E-06,2.60E-06,2.64E-06
1757.35,0,0,0,0,9.10E-27,8.93E-27,8.86E-27,8.89E-27,2.84E-06,2.81E-06,2.81E-06,2.85E-06
1756.84,0,0,0,0,1.08E-26,1.06E-26,1.05E-26,1.05E-26,3.03E-06,2.99E-06,3.00E-06,3.04E-06
1756.315,0,0,0,0,1.27E-26,1.24E-26,1.23E-26,1.24E-26,3.21E-06,3.17E-06,3.17E-06,3.21E-06
1755.795,0,0,0,0,1.50E-26,1.47E-26,1.46E-26,1.47E-26,3.47E-06,3.43E-06,3.44E-06,3.48E-06
1755.28,0,0,0,0,1.62E-26,1.59E-26,1.58E-26,1.58E-26,3.36E-06,3.32E-06,3.33E-06,3.37E-06
1754.77,0,0,0,0,1.63E-26,1.60E-26,1.59E-26,1.60E-26,3.12E-06,3.08E-06,3.08E-06,3.12E-06
1754.265,0,0,0,0,1.80E-26,1.77E-26,1.76E-26,1.76E-26,3.28E-06,3.24E-06,3.25E-06,3.29E-06
1753.75,3.41E-42,3.34E-42,3.29E-42,3.28E-42,1.85E-26,1.81E-26,1.80E-26,1.81E-26,3.10E-06,3.07E-06,3.07E-06,3.11E-06
1753.205,8.28E-42,8.11E-42,8.00E-42,7.96E-42,2.85E-26,2.80E-26,2.78E-26,2.79E-26,4.03E-06,3.98E-06,3.99E-06,4.04E-06
1752.675,1.74E-41,1.70E-41,1.68E-41,1.67E-41,4.64E-26,4.55E-26,4.52E-26,4.53E-26,5.78E-06,5.71E-06,5.72E-06,5.79E-06
1752.16,2.34E-41,2.29E-41,2.26E-41,2.25E-41,5.32E-26,5.23E-26,5.18E-26,5.21E-26,6.07E-06,5.99E-06,6.01E-06,6.09E-06
1751.635,3.21E-41,3.14E-41,3.10E-41,3.09E-41,6.30E-26,6.19E-26,6.14E-26,6.16E-26,6.61E-06,6.52E-06,6.54E-06,6.63E-06
1751.185,3.35E-41,3.28E-41,3.23E-41,3.22E-41,6.09E-26,5.98E-26,5.93E-26,5.96E-26,6.10E-06,6.03E-06,6.04E-06,6.12E-06
1750.635,3.18E-41,3.12E-41,3.07E-41,3.06E-41,5.24E-26,5.14E-26,5.10E-26,5.12E-26,4.84E-06,4.78E-06,4.79E-06,4.86E-06
