"scenario","p_retained","id"
"Alt1_12_H",0.0144411892557228,1
"Alt1_12_M",0.00999079322937905,2
"Alt1_12_L",0.00728944978315037,3
"Alt1_11_H",0.00295908718349254,4
"Alt1_11_M",0.00128272239718392,5
"Alt1_11_L",0.000464231572828118,6
"Alt1_98_H",0.00097263609965897,7
"Alt1_98_M",0.0006745726782647,8
"Alt1_98_L",0.00045457234775418,9
"Alt1_85_H",0.00119819361236424,10
"Alt1_85_M",0.000999761408698698,11
"Alt1_85_L",0.000808973608116425,12
"Alt1_84_H",0.00520035950434794,13
"Alt1_84_M",0.00408299984147211,14
"Alt1_84_L",0.00318810973722764,15
"Alt1_83_H",0.0134937065185419,16
"Alt1_83_M",0.00963736010717524,17
"Alt1_83_L",0.00673607566753634,18
"Alt1_80_H",0.00105905876875168,19
"Alt1_80_M",0.000965871938798061,20
"Alt1_80_L",0.000473218438886592,21
"Alt1_75_H",0.145831184161478,22
"Alt1_75_M",0.104725295987144,23
"Alt1_75_L",0.06833722023206,24
"Alt1_68_H",0.000602258312051233,25
"Alt1_68_M",0.000494476355260571,26
"Alt1_68_L",0.000409766096756743,27
"Alt1a_11_H",0.00420793620821975,28
"Alt1a_11_M",0.000388980820349293,29
"Alt1a_11_L",0.000177561324340293,30
"Alt1a_85_H",0.000233012422178086,31
"Alt1a_85_M",0.000190490424241879,32
"Alt1a_85_L",0.00015850137222235,33
"Alt1a_75_H",0.0733636230920493,34
"Alt1a_75_M",0.0495839352041182,35
"Alt1a_75_L",0.0333269791730169,36
"Alt1a_68_H",0.0102591537048596,37
"Alt1a_68_M",0.00955569506061017,38
"Alt1a_68_L",0.00961360227044107,39
"Alt2_12_H",0.00758798716402371,40
"Alt2_12_M",0.00526877556010385,41
"Alt2_12_L",0.00380007392386992,42
"Alt2_11_H",0.00528815451221523,43
"Alt2_11_M",0.00232080816746779,44
"Alt2_11_L",0.000824013333003557,45
"Alt2_98_H",0.000869645225780871,46
"Alt2_98_M",0.000586092126390933,47
"Alt2_98_L",0.000369205472782883,48
"Alt2_87_H",0.098041109886091,49
"Alt2_87_M",0.0870708086686709,50
"Alt2_87_L",0.0771305358992491,51
"Alt2_86_H",0.104421711234233,52
"Alt2_86_M",0.0674602450391507,53
"Alt2_86_L",0.0424578860398488,54
"Alt2_85_H",0.000889839626049442,55
"Alt2_85_M",0.000702619537672584,56
"Alt2_85_L",0.000541459647936237,57
"Alt2_84_H",0.0061678817520657,58
"Alt2_84_M",0.00469154360106167,59
"Alt2_84_L",0.00354039338961691,60
"Alt2_83_H",0.00257664888465104,61
"Alt2_83_M",0.00199503479196507,62
"Alt2_83_L",0.00147930567759035,63
"Alt2_80_H",0.000741408297979697,64
"Alt2_80_M",0.000555369000498054,65
"Alt2_80_L",0.000390167411555976,66
"Alt2_75_H",0.118881255708948,67
"Alt2_75_M",0.0866171653495908,68
"Alt2_75_L",0.0580509802156589,69
"Alt2_68_H",0.000534852204737028,70
"Alt2_68_M",0.000452971352167095,71
"Alt2_68_L",0.000384963872533592,72
"Alt2_66_H",0.00322564923760977,73
"Alt2_66_M",0.0027853672037477,74
"Alt2_66_L",0.00220524813206286,75
"Alt2a_12_H",0.00493269504593347,76
"Alt2a_12_M",0.00335842636741126,77
