"U_mps","temp_C","Exc_value","Pool_stage_ft","Lake_Sak_Upper_RM","spawn_rkm","p_retained","p_conserv","phi0_MR","phi0","lambda"
0.5,14,100,1813,1507.01,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,14,100,1813,1507.01,2833.449,0.105,0.1,3e-05,3.15e-06,0.920550172906584
0.9,14,100,1813,1507.01,2833.449,0.003,0.001,3e-05,9e-08,0.853629416257191
0.5,16,100,1813,1507.01,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,16,100,1813,1507.01,2833.449,0.176,0.1,3e-05,5.28e-06,0.932521738523579
0.9,16,100,1813,1507.01,2833.449,0.004,0.001,3e-05,1.2e-07,0.858446774076073
0.5,18,100,1813,1507.01,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,18,100,1813,1507.01,2833.449,0.552,0.5,3e-05,1.656e-05,0.963481225728535
0.9,18,100,1813,1507.01,2833.449,0.008,0.001,3e-05,2.4e-07,0.870363213221618
0.5,20,100,1813,1507.01,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,20,100,1813,1507.01,2833.449,0.819,0.75,3e-05,2.457e-05,0.97626266195917
0.9,20,100,1813,1507.01,2833.449,0.024,0.01,3e-05,7.2e-07,0.890369463941414
0.5,22,100,1813,1507.01,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,22,100,1813,1507.01,2833.449,0.967,0.95,3e-05,2.901e-05,0.982080923103649
0.9,22,100,1813,1507.01,2833.449,0.09,0.05,3e-05,2.7e-06,0.917150057145291
0.5,24,100,1813,1507.01,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,24,100,1813,1507.01,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.9,24,100,1813,1507.01,2833.449,0.222,0.1,3e-05,6.66e-06,0.938244004597578
0.5,14,95,1818,1513.37,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,14,95,1818,1513.37,2833.449,0.045,0.01,3e-05,1.35e-06,0.902642942323837
0.9,14,95,1818,1513.37,2833.449,0.001,0.001,3e-05,3e-08,0.835810642357486
0.5,16,95,1818,1513.37,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,16,95,1818,1513.37,2833.449,0.127,0.1,3e-05,3.81e-06,0.924849189722733
0.9,16,95,1818,1513.37,2833.449,0.003,0.001,3e-05,9e-08,0.853629416257191
0.5,18,95,1818,1513.37,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,18,95,1818,1513.37,2833.449,0.393,0.25,3e-05,1.179e-05,0.953465723775794
0.9,18,95,1818,1513.37,2833.449,0.007,0.001,3e-05,2.1e-07,0.868030664504867
0.5,20,95,1818,1513.37,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,20,95,1818,1513.37,2833.449,0.715,0.5,3e-05,2.145e-05,0.971707457982547
0.9,20,95,1818,1513.37,2833.449,0.012,0.01,3e-05,3.6e-07,0.877567024466954
0.5,22,95,1818,1513.37,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,22,95,1818,1513.37,2833.449,0.954,0.95,3e-05,2.862e-05,0.981596183538067
0.9,22,95,1818,1513.37,2833.449,0.045,0.01,3e-05,1.35e-06,0.902642942323837
0.5,24,95,1818,1513.37,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,24,95,1818,1513.37,2833.449,0.992,0.99,3e-05,2.976e-05,0.9830003963777
0.9,24,95,1818,1513.37,2833.449,0.172,0.1,3e-05,5.16e-06,0.931967700860666
0.5,14,90,1822,1516.58,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,14,90,1822,1516.58,2833.449,0.038,0.01,3e-05,1.14e-06,0.899269542809353
0.9,14,90,1822,1516.58,2833.449,0,0,3e-05,0,0
0.5,16,90,1822,1516.58,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,16,90,1822,1516.58,2833.449,0.103,0.1,3e-05,3.09e-06,0.92012204388095
0.9,16,90,1822,1516.58,2833.449,0.003,0.001,3e-05,9e-08,0.853629416257191
0.5,18,90,1822,1516.58,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,18,90,1822,1516.58,2833.449,0.306,0.25,3e-05,9.18e-06,0.946574706175007
0.9,18,90,1822,1516.58,2833.449,0.006,0.001,3e-05,1.8e-07,0.865360733057403
0.5,20,90,1822,1516.58,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,20,90,1822,1516.58,2833.449,0.642,0.5,3e-05,1.926e-05,0.968214541448705
0.9,20,90,1822,1516.58,2833.449,0.01,0.001,3e-05,3e-07,0.874304322665422
0.5,22,90,1822,1516.58,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,22,90,1822,1516.58,2833.449,0.919,0.9,3e-05,2.757e-05,0.980267570670255
0.9,22,90,1822,1516.58,2833.449,0.039,0.01,3e-05,1.17e-06,0.89978410569564
0.5,24,90,1822,1516.58,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,24,90,1822,1516.58,2833.449,0.984,0.95,3e-05,2.952e-05,0.982707952256179
0.9,24,90,1822,1516.58,2833.449,0.147,0.1,3e-05,4.41e-06,0.928238586022614
0.5,14,75,1833,1527.4,2833.449,0.975,0.95,3e-05,2.925e-05,0.982376951738247
0.7,14,75,1833,1527.4,2833.449,0.016,0.01,3e-05,4.8e-07,0.88279953316804
0.9,14,75,1833,1527.4,2833.449,0,0,3e-05,0,0
0.5,16,75,1833,1527.4,2833.449,0.995,0.99,3e-05,2.985e-05,0.983109636570151
0.7,16,75,1833,1527.4,2833.449,0.035,0.01,3e-05,1.05e-06,0.897648977669966
0.9,16,75,1833,1527.4,2833.449,0,0,3e-05,0,0
0.5,18,75,1833,1527.4,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,18,75,1833,1527.4,2833.449,0.177,0.1,3e-05,5.31e-06,0.932658612838359
0.9,18,75,1833,1527.4,2833.449,0.004,0.001,3e-05,1.2e-07,0.858446774076073
0.5,20,75,1833,1527.4,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,20,75,1833,1527.4,2833.449,0.375,0.25,3e-05,1.125e-05,0.952145507805007
0.9,20,75,1833,1527.4,2833.449,0.007,0.001,3e-05,2.1e-07,0.868030664504867
0.5,22,75,1833,1527.4,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,22,75,1833,1527.4,2833.449,0.746,0.5,3e-05,2.238e-05,0.973112573753434
0.9,22,75,1833,1527.4,2833.449,0.018,0.01,3e-05,5.4e-07,0.884973788234061
0.5,24,75,1833,1527.4,2833.449,1,0.999,3e-05,3e-05,0.983291191726825
0.7,24,75,1833,1527.4,2833.449,0.961,0.95,3e-05,2.883e-05,0.981857770264179
0.9,24,75,1833,1527.4,2833.449,0.047,0.01,3e-05,1.41e-06,0.903520008056669
0.5,14,50,1843,1535.89,2833.449,0.956,0.95,3e-05,2.868e-05,0.981671059998438
0.7,14,50,1843,1535.89,2833.449,0.009,0.001,3e-05,2.7e-07,0.872436549166302
0.9,14,50,1843,1535.89,2833.449,0,0,3e-05,0,0
